index,level,wave,droppedVestige,collectedVestige,collectedExp,totalDmgDealed,totalDmgReceived,detail
1,1,0,2,0,35,88,0,EndTime
2,1,1,6,0,65,238,31,EndTime
3,1,2,2,0,15,25,26,AllDead
4,1,0,2,0,20,75,0,EndTime
5,1,1,6,2,65,200,0,AllDead
6,1,0,1,1,20,70,0,EndTime
7,1,1,6,0,75,210,0,AllDead
8,1,2,7,0,75,175,50,AllDead
9,1,3,12,0,90,236,0,AllDead
10,1,0,0,0,0,25,0,EndTime
11,1,0,2,0,30,100,0,EndTime
12,1,1,6,15,65,163,6,AllDead
13,1,0,4,0,60,180,0,EndTime
14,1,0,5,8,45,113,0,EndTime
15,1,1,6,7,50,100,0,AllDead
16,1,0,6,6,50,120,0,EndTime
17,1,1,5,0,45,135,0,AllDead
18,1,2,4,2,30,60,8,AllDead
19,1,3,10,10,80,270,44,EndTime
20,1,0,8,3,70,180,0,EndTime
21,1,1,3,0,25,75,0,AllDead
22,1,2,0,2,0,0,0,AllDead
23,1,3,10,6,80,270,60,EndTime
24,1,4,4,8,40,135,54,AllDead
25,1,0,10,0,85,294,0,EndTime
26,1,1,1,10,10,42,0,AllDead
27,1,0,4,0,35,75,0,EndTime
28,1,1,7,14,60,138,0,AllDead
29,1,0,5,5,40,122,0,EndTime
30,1,1,5,3,45,189,5,AllDead
31,1,2,4,2,30,70,8,AllDead
32,1,3,10,8,75,207,6,AllDead
33,1,4,4,7,40,155,16,AllDead
34,1,0,7,5,60,220,0,EndTime
35,1,1,4,0,35,120,0,AllDead
36,1,2,2,3,15,40,0,AllDead
37,1,3,6,6,45,120,0,AllDead
38,1,4,4,5,40,175,6,AllDead
39,1,5,12,13,90,240,53,AllDead
40,1,0,6,9,50,100,0,EndTime
41,1,1,5,3,45,100,0,AllDead
42,1,2,6,7,45,88,32,AllDead
43,1,0,4,0,35,75,0,EndTime
44,1,1,7,9,60,125,0,AllDead
45,1,2,6,2,45,75,40,AllDead
46,1,0,4,7,35,75,0,EndTime
47,1,1,7,9,60,125,0,AllDead
48,1,2,6,4,45,75,24,AllDead
49,1,0,5,4,45,100,0,EndTime
50,1,1,6,5,50,100,0,AllDead
51,1,2,2,4,15,25,0,AllDead
52,1,3,18,16,135,330,114,AllDead
53,1,4,1,2,10,25,0,AllDead
54,1,0,5,8,45,157,0,EndTime
55,1,1,6,7,50,140,0,AllDead
56,1,2,2,0,15,35,4,AllDead
57,1,3,12,11,90,272,12,AllDead
58,1,4,0,1,0,0,0,AllDead
59,1,5,6,6,45,105,0,AllDead
60,1,6,6,7,45,105,36,AllDead
61,1,7,10,10,75,175,0,AllDead
62,1,0,7,9,60,175,0,EndTime
63,1,1,4,5,35,105,0,AllDead
64,1,2,12,12,90,210,0,EndTime
65,1,3,8,8,60,155,0,AllDead
66,1,4,2,1,20,85,12,AllDead
67,1,5,6,5,45,105,0,AllDead
68,1,6,4,4,30,70,27,AllDead
69,1,7,6,6,45,105,0,AllDead
70,1,8,4,2,30,70,0,AllDead
71,1,9,6,5,45,105,0,AllDead
72,1,0,7,12,60,209,0,EndTime
73,1,1,4,2,35,122,0,AllDead
74,1,2,12,12,90,227,0,EndTime
75,1,3,8,10,60,155,0,AllDead
76,1,4,2,2,20,70,0,AllDead
77,1,5,6,6,45,122,0,AllDead
78,1,6,4,6,30,70,18,AllDead
79,1,7,4,3,30,87,0,AllDead
80,1,8,6,5,45,105,36,AllDead
81,1,9,4,3,30,70,0,AllDead
82,1,0,4,8,35,75,0,EndTime
83,1,1,7,6,60,138,0,AllDead
84,1,2,6,6,45,75,16,AllDead
85,1,3,14,12,105,263,40,AllDead
86,1,4,2,2,20,50,0,AllDead
87,1,5,12,14,90,200,55,EndTime
88,1,0,4,6,35,101,0,EndTime
89,1,1,7,6,60,125,0,AllDead
90,1,0,3,3,30,75,0,EndTime
91,1,1,8,7,65,125,0,AllDead
92,1,0,4,4,35,81,0,EndTime
93,1,1,7,5,60,135,0,AllDead
94,1,2,8,6,60,121,48,AllDead
95,1,3,14,12,105,234,26,AllDead
96,1,4,2,4,20,69,2,AllDead
97,1,5,6,4,45,81,0,AllDead
98,1,6,6,4,45,81,54,AllDead
